# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c201acad28
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
1285339f612f79e0,memcpyHtoD,31077.7,31152,,,,,,,,,,,0,0,134217728,0
1285339f630f5b00,memset32_aligned1D,5.92,18,0.125,1,1,1,192,1,1,0,0,6,0,-1,,0,0,0,0,1,0,0,1,0,7,0,0,1,0,0,73,0,55,0,1,6,192,0,7343,1249,0,0,1,49,1,0,0,77,2
1285339f6311df80,memcpyHtoD,1.92,19,,,,,,,,,,,0,0,8,0
1285339f63137720,main_58_gpu,5467.36,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136289,18135,585,0,195692,0,0,2925,0,519582,2665034,161302,1872304,0,149832,4680,149760,0,143406379,3127348,9067972,0,5244418,8856220,4822148,0,0,12837433,5929307
1285339f6366f160,main_62_gpu_red,20.576,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87844,11305,2056,0,1,2096,1,0,0,2872,2
1285339f636750e0,memcpyDtoHasync,2.24,5494,,,,,,,,,,,0,0,8,0
1285339f636cdbe0,main_71_gpu,5273.57,6,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32624,32624,109082,5742,522,0,151520,0,0,0,0,35438,1507198,102720,1149696,0,132696,4264,136448,0,146187434,3092016,6179680,0,5236226,8948088,4508702,0,0,13184949,5724856
1285339f63bdc120,memcpyHtoD,1.696,5207,,,,,,,,,,,0,0,8,0
1285339f63bf4080,main_58_gpu,5468.03,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191392,37928,136040,18104,584,0,195056,0,0,2920,0,518719,2663980,161543,1871872,0,149768,4672,149504,0,143580658,3131922,9051004,0,5244418,8852801,4819579,0,0,12840780,5927407
1285339f6412bd60,main_62_gpu_red,20.608,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87351,11433,2056,0,1,2088,1,0,0,2860,2
1285339f64131ca0,memcpyDtoHasync,2.432,5498,,,,,,,,,,,0,0,8,0
1285339f6416b8a0,main_71_gpu,5291.1,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32800,32800,108021,5687,517,0,153032,0,0,0,0,33383,1453089,97072,1211632,0,139840,4088,130816,0,147375638,2980988,6184408,0,5236226,8883462,4485371,0,0,13024742,5678601
1285339f6467dea0,memcpyHtoD,1.696,5229,,,,,,,,,,,0,0,8,0
1285339f64695980,main_58_gpu,5459.23,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191472,37944,136056,18104,584,0,195358,0,0,2920,0,520312,2669879,161082,1875078,0,149993,4680,149760,0,143392693,3132306,9086584,0,5244418,8857084,4814315,0,0,12860036,5926717
