# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c2019ed228
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
128533c805d74be0,memcpyHtoD,37534.6,37641,,,,,,,,,,,0,0,134217728,0
128533c808a31b60,memcpyHtoD,41261.9,41389,,,,,,,,,,,0,0,134217728,0
128533c80b1bb6e0,main_58_gpu,5104.7,16,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149696,37424,122249,6435,585,0,173424,0,0,0,0,374152,2380991,149029,1555716,0,149456,4680,149760,0,139478912,2926884,8343180,0,5236226,8859311,4405614,0,0,12818907,5403903
128533c80b69ac40,memset32_aligned1D,2.72,10,0.125,1,1,1,192,1,1,0,0,6,0,-1,,0,0,0,0,1,0,0,1,0,7,0,0,1,0,0,73,0,55,0,1,6,192,0,7317,1249,0,0,1,49,1,0,0,77,2
128533c80b6a3b00,memcpyHtoD,1.664,4817,,,,,,,,,,,0,0,8,0
128533c80b6c0fa0,main_70_gpu,5458.05,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191880,38025,136289,18135,585,0,195358,0,0,2920,0,518420,2665463,162031,1871872,0,149776,4672,149504,0,143475868,3127618,9053500,0,5244418,8854963,4823526,0,0,12835787,5927507
128533c80bbf6580,main_74_gpu_red,20.576,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,86977,11419,2056,0,1,2096,1,0,0,2872,2
128533c80bbfc500,memcpyDtoHasync,2.272,5485,,,,,,,,,,,0,0,8,0
128533c80bc35c80,main_58_gpu,5098.34,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149376,37344,122056,6424,584,0,173144,0,0,0,0,373566,2380815,149012,1558376,0,149648,4672,149504,0,139656435,2922140,8337744,0,5236226,8864607,4409054,0,0,12827819,5414222
128533c80c118d40,memcpyHtoD,1.696,5043,,,,,,,,,,,0,0,8,0
